farm_id,village,farm_area,shade_cover,mean_height_transect,vertical_complexity,richness_tree,shannon_diversity_tree,tree_density_per_hectare,activity_bats,richness_bats,shannon_diversity_bats,elevation,distance_forest,activity_open,activity_edge,activity_clutter,richness_open,richness_edge,richness_clutter,NMDS1
abena_a,anyinase,0.314054441,20.4789235,16.30933,0.2157,11,2.029395602,155.5555556,17,4,1.006214566,258.3765088,199.6432487,16,1,0,3,1,0,-0.41198257
afia_a,perminase,0.596789009,1.10144577,18.092,0.175,3,1.004242473,51.85185185,49,4,0.987499178,257.1217095,782.3783955,49,0,0,4,0,0,-0.039862381
ama_a,perminase,0.360217549,1.62505574,11.345,0.2119,5,1.33166431,103.7037037,237,10,0.932844448,323.5372871,56.06761175,228,4,5,6,3,1,0.615078984
amma_s,saabo,0.312248069,7.40550407,21.2325,0.1959,8,2.025326221,74.07407407,5,3,0.950270539,201.1218576,120.8595134,4,1,0,2,1,0,-0.965935951
anthony_a,freboye,0.626882236,2.2839554,13.114,0.1778,2,0.500402424,37.03703704,88,6,1.380789271,198.3509395,797.0976431,88,0,0,6,0,0,0.450617705
asepati_k,nkyesa,0.82437077,19.6002565,16.269,0.231,7,1.369857482,162.962963,82,7,1.183431454,210.1737982,61.7198521,80,2,0,6,1,0,-0.046532835
augustina_b,perminase,0.618284981,5.07698047,23.32,0.186,2,0.410116318,51.85185185,86,10,1.370497691,251.8855561,854.0976576,80,2,4,6,1,3,0.968909008
bashiru_l,freboye,1.350926168,6.19882669,14.96,0.223,2,0.562335145,29.62962963,6,3,1.011404265,212.4038748,234.0663765,6,0,0,3,0,0,-0.18476933
charles_f,banso,1.351271528,17.8773046,16.15754,0.2163,13,2.083645342,192.5925926,131,9,1.807644654,288.558908,228.8582096,86,43,2,6,2,1,0.139597087
daniel_a,banso,0.195793702,10.7384693,16.41422,0.196,6,1.676987774,66.66666667,17,4,1.115065984,243.29005,141.0303277,11,6,0,2,2,0,-0.745790502
deborah_a,anyinase,0.599387043,24.865379,15.21227,0.2049,6,1.342041951,200,29,5,1.232283071,230.5762367,396.1045743,28,1,0,4,1,0,-0.111273934
elisabeth_k,tebeso,1.305500356,18.4579103,20.26571,0.2441,11,2.110572676,162.962963,23,7,1.544009143,214.9690267,164.3269613,19,3,1,4,2,1,-0.362616115
elizabeth_a,nkyesa,4.398757917,7.8138087,12.39689,0.248,9,2.138397246,96.2962963,14,5,1.494403211,225.3559445,442.7055967,12,2,0,4,1,0,-0.113879741
emmanuel_a1,ofoase,5.342474199,7.29692218,17.52193,0.2422,10,2.16128712,162.962963,70,9,1.050427,207.532404,280.409355,69,1,1,5,1,1,0.541276976
faustina_a,obokro,0.41594664,15.7027364,21.2554,0.2079,5,1.389681192,81.48148148,7,2,0.598269589,217.5512234,245.3481284,2,5,0,1,1,0,-1.207496453
george_d,banso,1.182704041,25.4899976,20.11,0.2291,14,2.245900863,251.8518519,133,8,1.612847362,269.118844,6.768494498,121,8,0,5,2,0,0.384391094
helena_a ,freboye,0.499745632,3.9999516,11.03667,0.2073,2,0.562335145,29.62962963,31,7,1.316296845,200.1288867,327.1943449,30,1,0,6,1,0,0.074941238
james_o,somdadieso,0.227607029,11.4423355,15.01627,0.2169,2,0.286835983,88.88888889,134,8,1.055801889,192.482215,652.0000444,128,4,0,4,3,0,-0.156330246
john_a,obokro,1.512422474,9.77897385,12.2295,0.2264,3,1.054920168,37.03703704,61,5,1.385991428,250.9342479,340.4887362,36,25,0,4,1,0,-0.521054627
juventus_d,tebeso,1.031162249,5.08598021,13.21667,0.2176,3,0.63903186,74.07407407,562,4,0.319692152,210.4331513,548.4825188,561,0,1,3,0,1,-0.113466498
kofi_a,nkyesa,1.027417335,7.42786199,13.645,0.2089,3,1.039720771,29.62962963,32,7,1.53805637,183.250651,57.29496582,31,1,0,6,1,0,0.386012938
kofi_t1,nkyesa,1.447915838,14.2106496,13.88248,0.2541,4,0.99631385,155.5555556,168,8,1.594993,212.8358049,483.0286896,107,61,0,6,2,0,-0.287933991
kwasi_m,banso,1.124785386,7.78729363,12.0725,0.2209,3,0.950270539,37.03703704,65,5,1.084681285,195.0049957,218.9499535,65,0,0,5,0,0,0.11730274
kwesi_b,perminase,4.221605654,17.4519362,16.525,0.2197,9,1.683997277,155.5555556,581,9,0.887106923,235.1276895,443.8282269,576,0,5,7,0,2,0.522893705
martin_e,banso,0.610720936,27.2041152,19.0256,0.2088,8,1.63107863,177.7777778,234,8,1.302718431,276.4519922,54.830204,227,2,0,6,1,0,0.062313222
marvis_k,somdadieso,0.738414603,16.8007849,14.40204,0.187,4,0.446243761,214.8148148,55,6,1.459439776,196.6462304,720.4510501,41,12,2,4,1,1,-0.28623462
michael_n1,perminase,1.742634609,6.56753374,13.724,0.2146,11,2.126596577,177.7777778,191,11,1.422682,246.7643413,536.7431429,134,50,8,4,4,3,0.020928266
paul_n,ofoase,1.48684756,4.14863352,14.20813,0.2168,3,0.683738906,66.66666667,92,4,0.79836529,225.2745247,175.0673879,92,0,0,4,0,0,0.163707167
robert_ms,freboye,0.651713582,11.5675398,9.8,0.1888,2,0.693147181,14.81481481,53,8,1.339536082,205.1178879,922.7067779,50,0,3,6,0,2,0.560604161
salifu_o,anyanso,0.946872493,12.7169663,14.218,0.223,6,1.079161591,125.9259259,48,9,1.299325621,234.5248089,578.9486305,42,2,3,4,2,2,0.48972109
samuel_ko,obokro,0.761952165,14.4682235,14.35053,0.2487,6,1.442093077,133.3333333,33,7,1.307414384,242.2636487,65.48389542,8,20,5,3,2,2,0.071732087
samuel_o,nkyesa,0.811661267,35.5783728,15.23,0.2513,14,2.454743359,148.1481481,33,7,1.43433031,191.0314286,118.1993575,14,18,1,5,1,1,-0.352057947
stephen_o,obokro,0.789669487,8.59977375,12.445,0.2132,8,1.396302527,259.2592593,133,9,1.422828858,256.2522638,426.483796,103,26,0,6,2,0,0.054441148
william_o,banso,0.505873615,11.13012111,17.58567,0.2271,9,2.083766037,111.1111111,96,9,1.666000007,278.7642807,86.55817089,84,8,0,6,2,0,0.247799669
william_t,somdadieso,0.757409396,6.977978531,0,0.1655,0,0,0,47,7,1.381766545,197.7768065,572.2344747,41,1,5,4,1,2,0.586810809
yaa_k,banso,0.721226215,14.2845316,16.804,0.2192,6,1.695742534,74.07407407,381,8,1.340646721,300.1117988,243.8492836,343,37,0,5,2,0,-0.164772751
yaw_l ,obokro,2.183432696,5.443558981,13.91256,0.243,5,1.468139939,81.48148148,51,5,1.187104227,222.0305197,254.9782221,31,6,0,3,1,0,-0.636129856
yaw_o,ofoase,1.194509176,15.13784819,14.70771,0.2397,7,1.906154747,59.25925926,24,9,2.02932303,219.6836493,123.7955066,20,2,2,6,1,2,0.249041254